item_id,timestamp,target_value,ao,jaw,teeth,lips,fdbb,price_peak_bellow,ao_peak_bellow
SPX500_D1_8503062200,1985-03-06 22:00:00,0.0,0.0038491906,178.4689942514,180.2174165843,180.9985786711,0.0,0,0
SPX500_D1_8503072200,1985-03-07 22:00:00,0.0,0.003185069,178.4902254629,180.2864895113,181.2798629369,0.0,0,0
SPX500_D1_8503082200,1985-03-08 22:00:00,0.0,0.0018318336,178.6348235042,180.5663033224,181.4308903495,0.0,0,0
SPX500_D1_8503112200,1985-03-11 22:00:00,0.0,0.0004315152,178.8309909269,180.7961404071,181.4287122796,0.0,0,0
SPX500_D1_8503122200,1985-03-12 22:00:00,0.0,-0.0005661648,178.980145471,180.9509978562,181.1519698237,0.0,0,0
SPX500_D1_8503132200,1985-03-13 22:00:00,0.0,-0.0014689302,179.2528265886,181.0096231242,180.8255758589,0.0,0,0
SPX500_D1_8503142200,1985-03-14 22:00:00,0.0,-0.0021307117,179.4953014664,180.8890452336,180.4214606871,0.0,0,0
SPX500_D1_8503152200,1985-03-15 22:00:00,0.0,-0.0027983434,179.6906628921,180.7179145794,180.2211685497,0.0,1,0
SPX500_D1_8503182200,1985-03-18 22:00:00,0.0,-0.0033294534,179.8236888235,180.478800257,179.9749348398,0.0,0,0
SPX500_D1_8503192200,1985-03-19 22:00:00,0.0,-0.0037283944,179.8407127601,180.3464502249,179.5939478718,0.0,0,0
SPX500_D1_8503202200,1985-03-20 22:00:00,0.0,-0.0036169586,179.8160425478,180.1768939468,179.1691582975,0.0,0,0
SPX500_D1_8503212200,1985-03-21 22:00:00,-13.0,-0.0031611999,179.7382700441,179.9135322034,178.754326638,0.0,0,0
SPX500_D1_8503222200,1985-03-22 22:00:00,0.0,-0.0025667667,179.713787733,179.608090678,178.6464613104,0.0,0,0
SPX500_D1_8503252200,1985-03-25 22:00:00,0.0,-0.0021088083,179.6581117536,179.2939543432,178.7741690483,0.0,0,0
SPX500_D1_8503262200,1985-03-26 22:00:00,0.0,-0.0019457498,179.535949311,179.1590850503,178.9303352386,0.0,0,0
SPX500_D1_8503272200,1985-03-27 22:00:00,0.0,-0.0019158433,179.3770301332,179.174824419,179.0222681909,0.0,0,0
SPX500_D1_8503282200,1985-03-28 22:00:00,-11.999999999999998,-0.0017142199,179.2014893537,179.2223463667,178.9068145527,0.0,0,0
SPX500_D1_8503292200,1985-03-29 22:00:00,0.0,-0.0013979314,179.1256055573,179.2433030708,178.7994516422,0.0,0,0
SPX500_D1_8504012200,1985-04-01 22:00:00,0.0,-0.0006184895,179.1378666683,179.143515187,178.8625613137,0.0,0,0
SPX500_D1_8504022200,1985-04-02 22:00:00,-16.0,0.0001953987,179.1699538476,179.0468257886,179.093049051,0.0,0,0
SPX500_D1_8504032200,1985-04-03 22:00:00,0.0,0.0004664296,179.1868804747,179.055347565,179.2944392408,0.0,0,0
SPX500_D1_8504042200,1985-04-04 22:00:00,-8.0,0.0002598452,179.1298127459,179.1753041194,179.6055513926,1.0,0,0
SPX500_D1_8504082200,1985-04-08 22:00:00,0.0,0.0,179.0713656116,179.2908911045,179.8984411141,0.0,0,0
SPX500_D1_8504092200,1985-04-09 22:00:00,0.0,-0.0007099876,179.074722103,179.4857797164,179.8357528913,0.0,0,0
SPX500_D1_8504102200,1985-04-10 22:00:00,0.0,-0.0012429229,179.147051172,179.6838072519,179.610602313,0.0,0,0
SPX500_D1_8504112200,1985-04-11 22:00:00,0.0,-0.0010379766,179.220354928,179.6714563454,179.4204818504,0.0,0,0
SPX500_D1_8504122200,1985-04-12 22:00:00,0.0,-0.0005530602,179.3457122413,179.5512743022,179.2013854803,0.0,0,0
SPX500_D1_8504152200,1985-04-15 22:00:00,0.0,0.0,179.4783497612,179.4398650144,179.1721083843,0.0,0,0
SPX500_D1_8504162200,1985-04-16 22:00:00,0.0,0.0008495982,179.4865536257,179.3005068876,179.3706867074,0.0,0,0
SPX500_D1_8504172200,1985-04-17 22:00:00,0.0,0.0016197733,179.4268187314,179.2698185267,179.5575493659,0.0,0,0
SPX500_D1_8504182200,1985-04-18 22:00:00,-18.0,0.0020525522,179.3678326751,179.3817162108,179.8060394927,0.0,0,0
SPX500_D1_8504192200,1985-04-19 22:00:00,0.0,0.0023003224,179.2876147771,179.4971266845,180.0418315942,0.0,0,0
SPX500_D1_8504222200,1985-04-22 22:00:00,0.0,0.0023591526,179.2697213327,179.6599858489,180.3384652754,0.0,0,0
SPX500_D1_8504232200,1985-04-23 22:00:00,0.0,0.0024544417,179.3385889225,179.8256126178,180.6017722203,0.0,0,0
SPX500_D1_8504242200,1985-04-24 22:00:00,0.0,0.0025798245,179.4129282361,180.0380360406,180.6484177762,0.0,0,0
SPX500_D1_8504252200,1985-04-25 22:00:00,0.0,0.0028084994,179.5196260641,180.2401565355,180.666734221,0.0,0,0
SPX500_D1_8504262200,1985-04-26 22:00:00,-15.0,0.0032952879,179.6323471361,180.3145119686,180.7643873768,0.0,0,0
SPX500_D1_8504292100,1985-04-29 21:00:00,0.0,0.0034056004,179.7779358179,180.3676979725,181.0125099014,0.0,0,0
SPX500_D1_8504302100,1985-04-30 21:00:00,-18.0,0.0029416514,179.9223253704,180.4661107259,181.3650079211,1.0,0,0
SPX500_D1_8505012100,1985-05-01 21:00:00,0.0,0.0020377627,179.9925311111,180.6584718852,181.6630063369,0.0,0,0
SPX500_D1_8505022100,1985-05-02 21:00:00,0.0,0.0007086772,180.050028718,180.9230378995,181.6264050695,0.0,0,0
SPX500_D1_8505032100,1985-05-03 21:00:00,0.0,-0.0004119987,180.1350265089,181.1645331621,181.2501240556,0.0,0,0
SPX500_D1_8505062100,1985-05-06 21:00:00,0.0,-0.0009673991,180.2788706236,181.2039665168,180.8390992445,0.0,0,0
SPX500_D1_8505072100,1985-05-07 21:00:00,0.0,-0.000839489,180.4708805756,181.0215957022,180.4092793956,0.0,0,0
SPX500_D1_8505082100,1985-05-08 21:00:00,0.0,-0.0005190351,180.6542743775,180.7932712395,180.2584235165,0.0,0,0
SPX500_D1_8505092100,1985-05-09 21:00:00,0.0,0.0002285814,180.7177917331,180.5303623345,180.2447388132,0.0,0,0
SPX500_D1_8505102100,1985-05-10 21:00:00,0.0,0.0012137652,180.6429615998,180.4209420427,180.2917910505,0.0,0,0
SPX500_D1_8505132100,1985-05-13 21:00:00,0.0,0.0022749089,180.5315799382,180.3920742874,180.3054328404,0.0,0,0
SPX500_D1_8505142100,1985-05-14 21:00:00,-15.0,0.0032429632,180.389919943,180.4030650014,180.5033462724,0.0,0,0
SPX500_D1_8505152100,1985-05-15 21:00:00,-16.0,0.0043478668,180.3333876397,180.3976818763,181.0686770179,0.0,0,0
SPX500_D1_8505162100,1985-05-16 21:00:00,0.0,0.0053316934,180.3223578213,180.5098466417,181.7349416143,0.0,0,0
SPX500_D1_8505172100,1985-05-17 21:00:00,0.0,0.0060966734,180.3344841427,180.8623658115,182.2699532914,0.0,0,0
SPX500_D1_8505202100,1985-05-20 21:00:00,0.0,0.00709777,180.3364469009,181.3045700851,182.7449626332,0.0,0,0
SPX500_D1_8505212100,1985-05-21 21:00:00,0.0,0.0082674945,180.4101817547,181.6927488244,183.2239701065,0.0,0,0
SPX500_D1_8505222100,1985-05-22 21:00:00,0.0,0.0091246279,180.6347831582,182.0617802214,183.9201760852,0.0,0,0
SPX500_D1_8505232100,1985-05-23 21:00:00,0.0,0.0096014007,180.924415223,182.4465576937,184.8761408682,0.0,0,0
SPX500_D1_8505242100,1985-05-24 21:00:00,0.0,0.0095194034,181.1925371289,182.978862982,185.7599126945,0.0,0,0
SPX500_D1_8505282100,1985-05-28 21:00:00,-16.0,0.0088872477,181.4581111959,183.6940051092,186.3429301556,0.0,0,0
SPX500_D1_8505292100,1985-05-29 21:00:00,0.0,0.0079166661,181.7413334116,184.3941294706,186.6753441245,0.0,0,0
SPX500_D1_8505302100,1985-05-30 21:00:00,0.0,0.0072170685,182.1231539184,184.9292382868,186.8982752996,0.0,0,0
SPX500_D1_8505312100,1985-05-31 21:00:00,0.0,0.0069964903,182.6290651554,185.3137085009,187.1506202397,0.0,0,0
SPX500_D1_8506032100,1985-06-03 21:00:00,-13.999999999999998,0.0071728874,183.1418293743,185.6232449383,187.2174961917,0.0,0,0
SPX500_D1_8506042100,1985-06-04 21:00:00,0.0,0.0072211871,183.5674578839,185.940339321,187.2869969534,0.0,0,0
SPX500_D1_8506052100,1985-06-05 21:00:00,-10.0,0.0077688183,183.9088072775,186.1334219059,187.5335975627,0.0,0,0
SPX500_D1_8506062100,1985-06-06 21:00:00,0.0,0.0081789918,184.2073605638,186.3123691677,187.9558780502,0.0,0,0
SPX500_D1_8506072100,1985-06-07 21:00:00,-17.0,0.0083350767,184.5114097512,186.5883230217,188.2797024401,0.0,0,0
SPX500_D1_8506102100,1985-06-10 21:00:00,0.0,0.0078110806,184.7401474627,186.970407644,188.7297619521,0.0,0,0
SPX500_D1_8506112100,1985-06-11 21:00:00,0.0,0.0073138552,184.9574438117,187.2959816885,189.0028095617,0.0,0,0
SPX500_D1_8506122100,1985-06-12 21:00:00,0.0,0.0063136011,185.2314865954,187.7002339774,189.2862476494,0.0,0,0
SPX500_D1_8506132100,1985-06-13 21:00:00,0.0,0.0049462782,185.5709876265,187.9995797302,189.2789981195,0.0,0,0
SPX500_D1_8506142100,1985-06-14 21:00:00,0.0,0.0034507644,185.8789885783,188.302132264,189.2621984956,0.0,0,0
SPX500_D1_8506172100,1985-06-17 21:00:00,0.0,0.0023514771,186.2367586877,188.420615731,189.0727587965,0.0,0,0
SPX500_D1_8506182100,1985-06-18 21:00:00,0.0,0.0013350762,186.5335464809,188.5174137646,188.5222070372,0.0,0,0
SPX500_D1_8506192100,1985-06-19 21:00:00,0.0,0.0006340746,186.832504444,188.492112044,188.0607656297,0.0,0,0
SPX500_D1_8506202100,1985-06-20 21:00:00,-8.0,0.0002878328,187.0184656406,188.2205980385,187.7566125038,1.0,0,0
SPX500_D1_8506212100,1985-06-21 21:00:00,0.0,0.0004775685,187.1858913605,187.9698982837,187.621290003,0.0,0,0
SPX500_D1_8506242100,1985-06-24 21:00:00,0.0,0.000773498,187.2727458713,187.7911609982,187.5580320024,0.0,0,0
SPX500_D1_8506252100,1985-06-25 21:00:00,-18.0,0.0012721742,187.1994577273,187.7022658735,187.3184256019,0.0,0,0
SPX500_D1_8506262100,1985-06-26 21:00:00,0.0,0.0016379793,187.1237302098,187.6526076393,187.4637404816,0.0,0,0
SPX500_D1_8506272100,1985-06-27 21:00:00,0.0,0.0025817433,187.078827886,187.4910316844,187.7159923852,0.0,0,0
SPX500_D1_8506282100,1985-06-28 21:00:00,0.0,0.0032840086,187.0789180486,187.5602777238,188.1837939082,0.0,0,0
SPX500_D1_8507012100,1985-07-01 21:00:00,0.0,0.0039163048,187.0963089679,187.7058680083,188.5170351266,0.0,0,0
SPX500_D1_8507022100,1985-07-02 21:00:00,-8.0,0.0042438726,187.0396698166,187.9995095073,188.9556281012,0.0,0,0
SPX500_D1_8507032100,1985-07-03 21:00:00,0.0,0.0045078831,187.1170029076,188.2308208189,189.453502481,0.0,0,0
SPX500_D1_8507052100,1985-07-05 21:00:00,0.0,0.0046136558,187.2406949916,188.5407182165,189.9228019848,0.0,0,0
SPX500_D1_8507082100,1985-07-08 21:00:00,0.0,0.0045126101,187.4571799923,188.9037534395,190.3852415878,0.0,0,0
SPX500_D1_8507092100,1985-07-09 21:00:00,0.0,0.0042507993,187.6412430698,189.2657842595,190.6521932703,0.0,0,0
SPX500_D1_8507102100,1985-07-10 21:00:00,0.0,0.0039625452,187.8773012952,189.6369362271,190.9337546162,0.0,0,0
SPX500_D1_8507112100,1985-07-11 21:00:00,0.0,0.0040616252,188.1517396571,189.8973191987,191.125003693,0.0,0,0
SPX500_D1_8507122100,1985-07-12 21:00:00,0.0,0.0041215787,188.4323750681,190.1676542989,191.1740029544,0.0,0,0
SPX500_D1_8507152100,1985-07-15 21:00:00,-13.0,0.0042825779,188.7248846782,190.3829475115,191.2752023635,0.0,0,0
SPX500_D1_8507162100,1985-07-16 21:00:00,0.0,0.0047702556,188.9552781645,190.5063290726,191.5421618908,0.0,0,0
SPX500_D1_8507172100,1985-07-17 21:00:00,0.0,0.0055823653,189.1941029211,190.6530379385,191.8297295126,0.0,0,0
SPX500_D1_8507182100,1985-07-18 21:00:00,0.0,0.0059936621,189.4014796195,190.8976581962,192.1017836101,0.0,0,0
SPX500_D1_8507192100,1985-07-19 21:00:00,0.0,0.0062531796,189.5529042641,191.1579509217,192.4254268881,0.0,0,0
SPX500_D1_8507222100,1985-07-22 21:00:00,0.0,0.0064035079,189.716527013,191.4119570565,193.0193415105,0.0,0,0
SPX500_D1_8507232100,1985-07-23 21:00:00,0.0,0.0061850826,189.9391018582,191.7004624244,193.4144732084,0.0,0,0
SPX500_D1_8507242100,1985-07-24 21:00:00,0.0,0.004928587,190.1730170999,192.1622796213,193.6725785667,0.0,0,0
SPX500_D1_8507252100,1985-07-25 21:00:00,0.0,0.0038048222,190.4050927076,192.5163696687,193.8090628534,0.0,0,0
SPX500_D1_8507262100,1985-07-26 21:00:00,0.0,0.0029188588,190.6600855762,192.7899484601,193.7732502827,0.0,0,0
SPX500_D1_8507292100,1985-07-29 21:00:00,0.0,0.0017624261,191.0243097627,192.9855799026,193.3396002262,0.0,0,0
SPX500_D1_8507302100,1985-07-30 21:00:00,-8.0,0.0004812658,191.3297474732,193.0661324148,193.0116801809,1.0,0,0
SPX500_D1_8507312100,1985-07-31 21:00:00,0.0,0.0,191.589382283,192.8834908629,192.8453441447,0.0,0,0
SPX500_D1_8508012100,1985-08-01 21:00:00,0.0,-0.0002326064,191.8021221074,192.7355545051,192.4712753158,0.0,0,0
SPX500_D1_8508022100,1985-08-02 21:00:00,0.0,-0.0006447923,191.9427280991,192.6661101919,191.9120202526,0.0,0,0
SPX500_D1_8508052100,1985-08-05 21:00:00,0.0,-0.0009229371,191.9167490146,192.4547214179,191.6556162021,0.0,0,0
SPX500_D1_8508062100,1985-08-06 21:00:00,0.0,-0.0011475403,191.9000760134,192.1072562407,191.6324929617,0.0,0,0
SPX500_D1_8508072100,1985-08-07 21:00:00,-5.0,-0.0021093699,191.9216086278,191.9225992106,191.6439943693,1.0,0,0
SPX500_D1_8508082100,1985-08-08 21:00:00,0.0,-0.0032258804,191.8487925795,191.8747743093,191.4581954955,0.0,0,0
SPX500_D1_8508092100,1985-08-09 21:00:00,0.0,-0.00424069,191.6815777657,191.8516775206,191.0255563964,0.0,0,0
SPX500_D1_8508122100,1985-08-12 21:00:00,0.0,-0.0051047501,191.6006871683,191.7095928305,190.3524451171,0.0,0,0
SPX500_D1_8508132100,1985-08-13 21:00:00,0.0,-0.0056012266,191.5960189246,191.4077687267,189.9459560937,0.0,0,0
SPX500_D1_8508142100,1985-08-14 21:00:00,0.0,-0.0055190889,191.6032482381,190.9392976359,189.6727648749,0.0,0,0
SPX500_D1_8508152100,1985-08-15 21:00:00,-11.0,-0.0057166873,191.5349214506,190.6118854314,189.3132119,1.0,0,0
SPX500_D1_8508162100,1985-08-16 21:00:00,0.0,-0.0060983583,191.3626198005,190.3578997525,188.91756952,0.0,0,0
SPX500_D1_8508192100,1985-08-19 21:00:00,0.0,-0.0062987648,191.0778028928,190.0475372834,188.651055616,0.0,0,0
SPX500_D1_8508202100,1985-08-20 21:00:00,0.0,-0.0060721492,190.8656642087,189.708470123,188.3568444928,0.0,0,0
SPX500_D1_8508212100,1985-08-21 21:00:00,0.0,-0.0055976696,190.689843885,189.4430363576,188.0214755942,0.0,0,0
SPX500_D1_8508222100,1985-08-22 21:00:00,0.0,-0.0050883226,190.4733174323,189.1601568129,187.7091804754,0.0,0,0
SPX500_D1_8508232100,1985-08-23 21:00:00,-8.0,-0.0047644053,190.231908399,188.8501372113,187.6323443803,1.0,0,0
SPX500_D1_8508262100,1985-08-26 21:00:00,-10.0,-0.0044015956,190.0283000606,188.5513700599,187.8298755042,1.0,0,0
SPX500_D1_8508272100,1985-08-27 21:00:00,0.0,-0.0040946207,189.809200056,188.3980738024,187.9069004034,0.0,0,0
SPX500_D1_8508282100,1985-08-28 21:00:00,0.0,-0.0039771007,189.5684923594,188.4258145771,187.7205203227,0.0,0,0
SPX500_D1_8508292100,1985-08-29 21:00:00,0.0,-0.0036332926,189.3293775625,188.399462755,187.5664162582,0.0,0,0
SPX500_D1_8508302100,1985-08-30 21:00:00,0.0,-0.0029108088,189.1751946731,188.2214049106,187.5941330065,0.0,0,0
SPX500_D1_8509032100,1985-09-03 21:00:00,0.0,-0.0023075767,189.1324873905,188.0624792968,187.7483064052,0.0,0,0
SPX500_D1_8509042100,1985-09-04 21:00:00,0.0,-0.0020182463,189.0619114374,188.0177943847,187.9306451242,0.0,0,0
SPX500_D1_8509052100,1985-09-05 21:00:00,-5.999999999999999,-0.0020228329,188.9013797884,188.0611950866,188.0575160993,1.0,0,0
SPX500_D1_8509062100,1985-09-06 21:00:00,0.0,-0.0019597905,188.7512736508,188.1360457008,188.0470128795,0.0,0,0
SPX500_D1_8509092100,1985-09-09 21:00:00,0.0,-0.0017471686,188.6707910623,188.1896649882,187.9266103036,0.0,0,0
SPX500_D1_8509102100,1985-09-10 21:00:00,0.0,-0.0016535644,188.6472686729,188.1665818646,187.7822882429,0.0,0,0
SPX500_D1_8509112100,1985-09-11 21:00:00,0.0,-0.0018931911,188.6482480057,188.0763841316,187.7958305943,0.0,0,0
SPX500_D1_8509122100,1985-09-12 21:00:00,0.0,-0.0024578114,188.641844313,187.9674611151,187.9066644754,0.0,0,0
SPX500_D1_8509132100,1985-09-13 21:00:00,0.0,-0.0035391268,188.5928562889,187.9527784757,187.8013315803,0.0,0,0
SPX500_D1_8509162100,1985-09-16 21:00:00,0.0,-0.0049554046,188.5045596513,188.0024311663,187.4100652643,0.0,0,0
SPX500_D1_8509172100,1985-09-17 21:00:00,0.0,-0.0063545529,188.4045935243,187.9246272705,186.7980522114,0.0,0,0
SPX500_D1_8509182100,1985-09-18 21:00:00,0.0,-0.0073589256,188.3619324839,187.6646738617,186.0624417691,0.0,0,0
SPX500_D1_8509192100,1985-09-19 21:00:00,0.0,-0.0075096752,188.3610146006,187.250339629,185.3859534153,0.0,0,0
SPX500_D1_8509202100,1985-09-20 21:00:00,0.0,-0.0071370838,188.285551939,186.7340471753,184.6747627322,0.0,0,0
SPX500_D1_8509232100,1985-09-23 21:00:00,0.0,-0.0065791561,188.0978171744,186.2272912784,184.0038101858,0.0,0,0
SPX500_D1_8509242100,1985-09-24 21:00:00,0.0,-0.0058144569,187.8095235456,185.6776298686,183.7140481486,0.0,0,0
SPX500_D1_8509252100,1985-09-25 21:00:00,0.0,-0.005436296,187.4487909652,185.132926135,183.5742385189,0.0,1,0
SPX500_D1_8509262100,1985-09-26 21:00:00,635.0,-0.0057596048,187.081960891,184.8106853682,183.5293908151,1.0,0,0
SPX500_D1_8509272100,1985-09-27 21:00:00,0.0,-0.0059660488,186.6779638994,184.5862246971,183.4955126521,0.0,0,0
SPX500_D1_8509302100,1985-09-30 21:00:00,627.0,-0.0062157379,186.2658128302,184.43169661,183.1204101217,1.0,0,0
SPX500_D1_8510012100,1985-10-01 21:00:00,0.0,-0.0059781238,185.9803656894,184.2977345337,182.5703280973,0.0,0,0
SPX500_D1_8510022100,1985-10-02 21:00:00,-19.0,-0.0047814413,185.7522606364,183.963017717,182.3152624779,0.0,0,0
SPX500_D1_8510032100,1985-10-03 21:00:00,0.0,-0.0033741962,185.5674713566,183.5138905024,182.1822099823,0.0,0,0
SPX500_D1_8510042100,1985-10-04 21:00:00,0.0,-0.0025222579,185.3976658677,183.2365291896,182.4557679858,0.0,0,0
SPX500_D1_8510072100,1985-10-07 21:00:00,0.0,-0.0021315541,185.1070761855,183.0382130409,182.9646143887,0.0,0,0
SPX500_D1_8510082100,1985-10-08 21:00:00,624.0,-0.002448919,184.7426857097,183.1021864108,183.2476915109,1.0,0,0
SPX500_D1_8510092100,1985-10-09 21:00:00,0.0,-0.0029391241,184.4774791167,183.3394131094,183.2991532088,0.0,0,0
SPX500_D1_8510102100,1985-10-10 21:00:00,0.0,-0.0032916842,184.2599807231,183.4694864708,183.091322567,0.0,0,0
SPX500_D1_8510112100,1985-10-11 21:00:00,0.0,-0.0031455681,184.2053668213,183.4739256619,182.8190580536,0.0,0,0
SPX500_D1_8510142100,1985-10-14 21:00:00,0.0,-0.0020940656,184.2664924504,183.3221849542,182.7692464429,0.0,0,0
SPX500_D1_8510152100,1985-10-15 21:00:00,-15.0,-0.0005440274,184.2752238004,183.1231618349,182.6993971543,0.0,0,0
SPX500_D1_8510162100,1985-10-16 21:00:00,0.0,0.000937867,184.2159758158,183.0540166055,182.8485177234,0.0,0,0
SPX500_D1_8510172100,1985-10-17 21:00:00,-11.0,0.002736471,184.0655161376,182.9747645298,183.3438141788,0.0,0,0
SPX500_D1_8510182100,1985-10-18 21:00:00,0.0,0.0040768359,183.8858610501,183.0335439636,183.957051343,0.0,0,0
SPX500_D1_8510212100,1985-10-21 21:00:00,0.0,0.0046691631,183.7846409693,183.3199759682,184.5716410744,0.0,0,0
